Seq_name,GFP_1_1,GFP_1_2,GFP_2_1,GFP_2_2,GFP_3_1,GFP_3_2,GFP_4_1,GFP_4_2,GFP_5_1,GFP_5_2,GFP_6_1,GFP_6_2,GFP_7_1,GFP_7_2,GFP_8_1,GFP_8_2
pep3_2cluster_ED_4,1662.0,545.0,1241.0,1106.0,694.0,325.0,269.0,946.0,523.0,273.0,193.0,462.0,0.0,1536.0,0.0,0.0
pep3_2cluster_ED_5,216.0,116.0,2738.0,1684.0,1253.0,1353.0,1106.0,2408.0,3010.0,2089.0,2631.0,375.0,2621.0,825.0,6834.0,248.0
pep3_2cluster_FYW_1,3748.0,365.0,5652.0,1266.0,1492.0,2716.0,1904.0,1278.0,1410.0,1426.0,745.0,595.0,2.0,0.0,1.0,3.0
pep3_2cluster_FYW_2,1098.0,459.0,2788.0,476.0,451.0,1676.0,1198.0,1335.0,699.0,2177.0,1056.0,56.0,2.0,1.0,1.0,0.0
pep3_2cluster_FYW_3,580.0,471.0,1943.0,487.0,535.0,1290.0,926.0,614.0,757.0,1509.0,0.0,351.0,0.0,3.0,1.0,6433.0
pep3_2cluster_FYW_4,1214.0,169.0,3754.0,251.0,1276.0,3481.0,878.0,1912.0,2319.0,2206.0,725.0,773.0,1592.0,1.0,9758.0,5.0
pep3_2cluster_FYW_5,943.0,597.0,2531.0,2370.0,693.0,3975.0,707.0,1035.0,1890.0,1220.0,0.0,809.0,1246.0,1.0,13.0,1.0
pep3_2cluster_LIVM_1,1468.0,153.0,995.0,460.0,405.0,688.0,216.0,343.0,1.0,47.0,226.0,151.0,0.0,0.0,0.0,0.0
pep3_2cluster_LIVM_2,30.0,220.0,232.0,552.0,350.0,381.0,259.0,392.0,10.0,237.0,0.0,166.0,0.0,0.0,0.0,2.0
pep3_2cluster_LIVM_3,117.0,3.0,361.0,66.0,616.0,1566.0,391.0,744.0,1172.0,2721.0,1896.0,2412.0,8139.0,5429.0,4436.0,5467.0
pep3_2cluster_LIVM_4,1802.0,510.0,1569.0,217.0,262.0,1450.0,143.0,785.0,199.0,78.0,394.0,0.0,752.0,1.0,62.0,1.0
pep3_2cluster_LIVM_5,1598.0,635.0,624.0,389.0,169.0,271.0,378.0,86.0,287.0,0.0,443.0,1.0,3076.0,1563.0,1.0,13.0
pep3_2cluster_NQ_1,3454.0,1012.0,2868.0,1002.0,555.0,2701.0,538.0,2025.0,2553.0,1863.0,454.0,227.0,0.0,0.0,2927.0,1.0
pep3_2cluster_NQ_2,1055.0,9.0,3260.0,791.0,584.0,1137.0,88.0,1941.0,460.0,976.0,1037.0,293.0,1.0,145.0,1.0,0.0
pep3_2cluster_NQ_3,3755.0,1562.0,1423.0,1697.0,784.0,2142.0,1036.0,795.0,1581.0,420.0,0.0,1.0,4.0,0.0,1.0,2.0
pep3_2cluster_NQ_4,3682.0,583.0,3731.0,2185.0,539.0,3368.0,937.0,2497.0,2969.0,1631.0,1113.0,633.0,2.0,993.0,1.0,7.0
pep3_2cluster_NQ_5,2274.0,570.0,741.0,453.0,310.0,741.0,553.0,51.0,177.0,835.0,1776.0,77.0,517.0,0.0,0.0,0.0
