,PDR3,YPR196W,EDS1,LYS14,RDS2,UGA3,UME6,SIP4,LEU3,STB5,TBS1,YLL054C,HAL9,GAL4,ARO80,ASG1,PUT3,SUT2,URC2,YNR063W,PDR8,YRR1,RDR1,RGT1,ERT1,YKL222C,YRM1,PDR1,TEA1,OAF1,HAP1,YLR278C,SUT1,CHA4,CAT8,STB4,UPC2,ECM22,GSM1,TOG1,RDS1,RSC30,RSC3,CEP3,MOT3,STP4,CRZ1,MET32,RPN4,NRG2,USV1,RGM1,REI1,NRG1,MSN4,GIS1,MSN2,COM2,RPH1,MIG3,TDA9,RSF2,MIG1,MIG2,YGR067C,YPR022C,ADR1,MET31,ZAP1,YPR015C,STP3,STP2,RIM101,STP1,FZF1,CMR3,SFP1,SWI5,ACE2,YAP6,HAC1,CST6,SKO1,GCN4,YAP3,CAD1,YAP1,CIN5,GZF3,GLN3,GAT1,GAT3,ECM23,SRD1,GAT4,HMRA2,PHO2,MATALPHA2,YHP1,YOX1,TOS8,CUP9,MBP1,SWI4,XBP1,SOK2,PHD1,DOT6,TOD6,TBF1,REB1,BAS1,FKH2,FKH1,HCM1,FHL1,SKN7,HSF1,MGA1,SFL1,NHP10,ABF2,NHP6A,ROX1,CBF1,RTG3,PHO4,TYE7,AFT1,AFT2,ORC2,SUM1,MSN1,GCR1,SMP1,MCM1,ABF1,ECM5,NDT80,RFX1,RAP1,STE12,SPT15,TEC1,VHR2
YAP6,-4.053671122,-4.082959313,-1.708978827,-1.104816442,-2.762909942,-2.976208836,-2.849021843,-2.460856765,-2.382681002,-2.521786223,-2.626222348,-2.686121952,-2.692782791,-2.800756449,-2.649213451,-2.487844032,-2.533731802,-3.416801037,-2.735569214,-2.48139194,-2.786485903,-1.914409469,-1.966074584,-2.42372828,-2.337114531,-2.621048965,-2.868810534,-3.035201165,-2.893599456,-3.387341883,-3.56612859,-4.389791776,-5.047340731,-2.761929672,-3.093621222,-4.496963697,-4.103814123,-2.311877237,-3.253226929,-4.572393462,-5.126517705,-4.9274028,-5.186937256,-3.361871588,-7.478148418,-5.256886503,-5.034988447,-6.607373714,-8.233967689,-7.106461271,-6.395486749,-6.329312416,-6.572716558,-5.242003012,-5.342109449,-6.439300414,-6.648502281,-6.823816675,-8.145390363,-6.889371778,-6.995052868,-6.584044748,-6.280966436,-5.330919976,-6.148757561,-5.844702104,-7.677450458,-7.250942604,-4.707130972,-4.159143654,-4.883145906,-2.802622135,-5.173064359,-5.469194683,-6.932192127,-4.029674818,-7.79417943,-4.912295517,-5.491239237,0,-4.58414681,-4.090313256,-4.327487289,-3.036177017,-5.971428672,-3.729849862,-2.870709849,-3.048882421,-3.838342222,-3.739464344,-1.968030177,-4.596337398,-4.48125043,-6.537151958,-6.264163784,-4.454639741,-3.829306543,-3.954152455,-2.082592844,-5.698794341,-5.820419029,-5.122424157,-4.529084314,-5.352970348,-5.003863119,-4.493811202,-4.663589604,-5.661669693,-4.697495887,-6.610501148,-9.219622895,-7.735583192,-4.067832964,-2.327287265,-2.407430739,-4.06083799,-5.043487925,-3.332968445,-3.819819201,-7.205214254,-7.516096091,-5.629637926,-2.525637011,-5.322113587,-7.741086871,-4.914590362,-6.280437732,-6.848218109,-3.31211964,-3.189742727,-2.755080917,-1.519324187,-6.684652793,-4.552280329,-4.641921606,-2.779081375,-7.214607828,-2.270459449,-4.640666615,-5.690543811,-3.193123431,-6.186472924,-1.846363344,-3.088381167,-6.712675649
HAC1,-3.478847801,-6.76094665,-3.26869532,-2.983062147,-4.451898365,-4.469693014,-3.85113002,-2.962210434,-3.647995841,-3.810386136,-4.145106701,-4.099870422,-4.145213861,-4.194094396,-3.956912003,-3.940573374,-3.742952269,-5.082047394,-4.713071138,-4.421275601,-5.158004593,-3.719785752,-4.842535696,-4.249220655,-5.45001699,-6.574065414,-7.141069998,-6.457132106,-5.58831644,-7.522722924,-8.101300479,-6.570072954,-5.916300326,-7.437749615,-4.309952164,-6.101117755,-6.358987582,-1.708500745,-4.264797156,-5.279305023,-6.400854254,-4.739010097,-4.439210392,-5.353203522,-6.132490495,-5.349227216,-4.685690254,-2.547785043,-3.100897174,-5.068941426,-3.688891152,-3.789283079,-3.487403176,-2.951339645,-2.7033486,-3.010886317,-3.399320125,-3.487695923,-4.25263487,-4.070057593,-4.069824857,-3.906657515,-3.485796201,-2.859425938,-2.423155841,-1.72032215,-3.383473081,-1.731038086,-2.959805254,-2.4746777,-4.033576802,-4.997794123,-7.421528814,-3.213437309,-4.503689104,-5.969817958,-6.226108851,-7.364241801,-5.457230891,-4.371174035,0,-3.219109117,-3.212972536,-3.325942323,-3.372873062,-5.444876149,-2.788236366,-2.882091339,-5.406814909,-7.191267147,-4.636575878,-4.42464896,-5.06994044,-5.856184252,-6.310659817,-3.3496973,-4.725200069,-3.437550737,-3.45547513,-4.765229831,-1.904554471,-2.430919932,-2.219615754,-2.592232556,-3.542414796,-4.165545434,-4.288221355,-3.81097098,-2.893721189,-4.834065424,-4.388050391,-4.412345985,-4.325331971,-2.108658984,-1.971356513,-4.463686559,-5.39858594,-2.653894482,-2.987230068,-5.649401273,-4.943341361,-5.336714236,-1.893469416,-4.327630525,-2.211182632,-1.34979739,-1.404634086,-2.135551236,-8.567389353,-6.094397273,-3.57956022,-3.171314251,-6.514343575,-3.474598955,-6.879054832,-2.924345673,-4.806979135,-3.4908418,-3.766400873,-7.842265091,-4.564423576,-4.689930875,-2.699602248,-6.499150407,-4.876944517
CST6,-7.06398783,-6.997698892,-4.725938309,-4.9991397,-4.556439917,-5.052547936,-4.521331064,-3.973217352,-4.164635368,-4.17188616,-4.398238,-4.342134577,-4.368888437,-4.382016957,-4.345451452,-4.392192314,-4.373658378,-4.774184437,-4.658959421,-4.317049715,-4.302901988,-4.267776856,-4.558149447,-4.598286511,-5.091859807,-4.911234359,-5.087625611,-7.734965975,-5.90583189,-5.628601464,-5.766204441,-6.18690397,-6.43179563,-6.234377978,-4.930568459,-8.248753412,-3.440838708,-6.963900739,-5.524102609,-5.383672623,-6.498455483,-7.498430013,-7.662662395,-7.728163356,-5.810552017,-10.27833089,-9.662354589,-6.807339332,-7.632281689,-7.331455303,-5.598376575,-5.617729061,-5.616303057,-5.447675774,-5.762495283,-6.082360448,-9.749558339,-6.466343602,-7.02459424,-8.216269613,-8.130760711,-8.229883344,-7.969284723,-6.798330169,-6.828780464,-6.510812245,-8.02928346,-9.531720253,-4.174170144,-5.568749525,-4.654026962,-4.608570496,-5.582586258,-5.955187534,-7.674239277,-8.049718994,-8.638744619,-6.954315224,-6.663564883,-4.090313256,-3.219109117,0,-0.213858058,-1.946568133,-2.219947387,-3.798353093,-4.948101387,-1.868925198,-7.184772204,-7.367995719,-7.93269627,-6.117305869,-5.79084706,-5.688249067,-6.082858153,-10.40792392,-5.792855941,-5.971584839,-3.631169896,-4.9434511,-0.720004551,-3.171837851,-4.75812327,-6.438194565,-6.560237875,-6.587604142,-7.00563278,-6.779445119,-6.678370542,-6.03027675,-10.57094367,-5.005373645,-7.867838799,-5.587462482,-5.184471393,-3.499205767,-6.174613473,-4.937477999,-5.263151164,-9.232191367,-10.69060135,-9.290197705,-3.972417852,-6.92007458,-11.27402173,-9.336017261,-4.7566454,-3.200985836,-7.682055526,-7.740549435,-5.490767668,-4.530073859,-10.26412866,-7.841907074,-7.013013335,-4.522270213,-5.756249662,-3.609021607,-6.572681433,-7.249499165,-7.149004114,-8.635607114,-4.448387793,-9.586910808,-3.823466714
SKO1,-7.17296931,-9.886057357,-7.378346012,-5.204639233,-4.476441636,-4.961348187,-4.437983054,-3.978253513,-4.092090696,-4.092019308,-4.317167392,-4.2571354,-4.279791591,-4.285642441,-4.267647099,-4.332738417,-4.320512217,-6.193905541,-4.755861964,-4.45150852,-4.435830395,-7.509413774,-7.34124065,-8.203795405,-8.473878279,-10.16905416,-6.627686692,-8.559765342,-9.149060259,-7.002972305,-7.881447025,-11.88775313,-12.18173118,-6.352624999,-5.124366955,-8.512530027,-7.834268136,-3.416372695,-5.490463652,-5.702951497,-6.312763866,-7.817725004,-7.498363123,-11.09166377,-6.323854852,-10.00599606,-9.985388089,-7.422924744,-8.149466024,-7.354127316,-5.622483184,-5.64455329,-5.634821023,-5.549659941,-5.871762929,-6.174384868,-9.8503787,-6.737108747,-7.525751619,-8.424170064,-8.420351583,-8.473121335,-8.019600546,-6.851205964,-6.805910095,-6.508474017,-8.055116705,-9.764346822,-4.290363053,-5.714091677,-4.707944233,-4.722451665,-5.544742354,-5.949734339,-7.906899269,-8.115760619,-7.571489664,-6.954432589,-6.620073822,-4.327487289,-3.212972536,-0.213858058,0,-2.069577228,-2.570455604,-4.351818838,-3.067836625,-2.291432392,-7.553072457,-7.792409363,-8.230916833,-6.391221188,-6.061320967,-6.255538992,-6.615598581,-10.84118454,-5.963182869,-6.254951666,-3.669283549,-4.924253856,-0.91109549,-3.72123579,-4.216600681,-6.350545604,-6.627878662,-6.536931825,-6.974586873,-6.843674474,-6.951870558,-7.782733894,-10.65954557,-4.866295432,-7.92331361,-5.843134702,-5.459785053,-3.869597214,-5.887269865,-5.010672628,-5.31455293,-9.382605481,-10.22239507,-8.952659258,-4.226846926,-7.210111627,-11.2477815,-9.99799987,-4.157165435,-2.608600498,-8.126021741,-7.945354424,-5.668607852,-4.586042693,-5.202922944,-7.939666916,-7.172145588,-5.773320187,-5.730197126,-3.737520852,-6.566829848,-7.484148556,-7.136112834,-7.713638619,-4.655532325,-9.902751617,-4.203699338
GCN4,-6.516653522,-8.322188295,-4.363710154,-2.619858988,-3.718325046,-4.270100734,-3.802333492,-2.597009646,-3.197596831,-3.338909258,-3.548391998,-3.515091026,-3.564631796,-3.622643347,-3.415032051,-3.332952365,-3.210604745,-5.566018458,-3.281219798,-3.01252558,-3.74566914,-2.986166099,-4.356923617,-4.974531273,-5.649375334,-4.525044298,-4.706638547,-5.676445485,-4.38113994,-5.785981608,-6.173593951,-7.721210757,-7.966045576,-5.64100325,-4.35523007,-5.991069674,-5.145415616,-2.744827541,-4.582996977,-4.877251453,-5.143295164,-6.066428387,-6.028908776,-7.816000201,-3.826226229,-5.08520182,-6.209782178,-5.120952058,-5.670949105,-4.620564882,-2.840811828,-2.859019037,-2.876004377,-3.707155882,-3.832810444,-4.455567097,-4.862687119,-5.363592043,-6.35412364,-7.521747151,-7.511992275,-6.997290462,-5.081115506,-4.347919918,-4.650794059,-4.328016675,-4.389603339,-4.206008422,-1.997223146,-2.995545194,-3.930109024,-2.788299477,-3.432582713,-5.539545551,-5.383050757,-7.484013654,-5.374314574,-5.250679917,-4.91787671,-3.036177017,-3.325942323,-1.946568133,-2.069577228,0,-2.366247964,-2.255763915,-0.746813327,-3.333554225,-6.01671477,-5.639826301,-5.714893491,-3.47291888,-4.125047211,-4.355727469,-4.939034911,-7.359971914,-3.862903521,-3.362359006,-2.675792125,-4.083180972,-1.27064479,-1.475706737,-3.411775302,-3.778158513,-5.934527724,-4.388053284,-4.808979168,-4.697196658,-3.499170144,-5.128401807,-8.882233019,-2.160203528,-6.60652474,-3.331501072,-3.009224731,-3.155116756,-3.806054066,-3.149028801,-3.583587108,-6.406854792,-6.774597218,-4.168887829,-1.654445453,-4.480393563,-3.098311029,-6.295360249,-5.480051773,-4.264032226,-6.386210356,-4.323885888,-3.550834874,-3.133123213,-3.410973002,-3.83548656,-5.605087615,-3.060141437,-4.564543054,-2.875707792,-4.541793339,-4.401237569,-4.148335198,-5.715854998,-2.935755469,-6.097761079,-1.982147287
YAP3,-10.21543185,-9.414438069,-5.860256202,-5.218837313,-4.503842282,-5.02758198,-4.500818844,-3.734758945,-4.130650893,-4.216610972,-4.429902501,-4.35192983,-4.392454842,-4.407631608,-4.318549884,-4.341376986,-4.255421408,-5.948915316,-7.091626661,-6.601095229,-7.67630769,-6.163126067,-7.595930124,-6.65588357,-9.066023972,-8.974287105,-7.246247187,-7.449600969,-7.521033335,-8.700325878,-8.782835285,-10.09342244,-10.16608937,-9.657724437,-6.880641605,-5.264007104,-3.699162978,-2.423879887,-4.532432809,-3.861537022,-6.714861102,-8.606055679,-8.242766576,-8.084624273,-6.440687742,-5.480808767,-6.093119329,-6.359137472,-7.097602527,-8.377148581,-6.532012292,-6.617498704,-6.506255766,-5.126525839,-5.174343939,-5.709083668,-6.641376127,-5.804143398,-6.313250085,-9.285849001,-9.221754491,-8.396000349,-7.703802733,-6.284844818,-5.739799334,-5.48231823,-6.741607113,-5.292372679,-3.54546173,-4.063318869,-4.60258953,-5.118140864,-5.67510311,-5.693997968,-6.519510747,-8.233364575,-4.91208767,-6.953364906,-6.680806255,-3.500998787,-3.372873062,-2.219947387,-2.570455604,-2.366247964,0,-0.827818497,-1.958047297,-1.317642081,-10.59517074,-7.07455366,-7.27450319,-6.317806235,-7.641238693,-5.608649724,-8.005958517,-7.303576989,-8.520330194,-5.046651859,-3.369250125,-2.878408094,-1.692621706,-3.695137805,-5.894673593,-6.109308167,-5.093370771,-6.505611786,-7.407461612,-6.528517989,-4.470707975,-6.176502381,-4.705246044,-5.127283869,-8.117388333,-4.782175425,-4.48842488,-4.144457288,-7.762059606,-3.082786091,-3.354679301,-4.883274005,-9.659729006,-6.920429279,-3.083778402,-6.041884209,-10.76184684,-7.501120338,-5.571600492,-4.357771583,-7.120139807,-7.188269078,-4.924478996,-3.799687938,-8.615132676,-5.052982764,-3.97440513,-3.438677604,-5.222060719,-3.377194996,-5.673340021,-4.105948703,-5.66596688,-4.948926371,-3.464013501,-8.636086535,-3.69063727
CAD1,-10.52978297,-9.250660905,-5.858785686,-5.112486376,-7.750305269,-6.173699411,-5.692232997,-4.628378603,-5.240320236,-5.408085115,-5.617269671,-5.538697198,-5.592873939,-5.620630142,-5.467685746,-5.435081102,-5.297785288,-7.452409278,-7.301645388,-6.776996295,-7.918149672,-5.548914079,-7.129758354,-6.331595033,-8.788431934,-7.62647612,-8.428123656,-7.395251216,-6.596593603,-8.842097788,-9.179292364,-10.7523887,-11.38657364,-10.39494022,-7.340353108,-5.889075937,-7.125442142,-3.125193736,-5.661544073,-5.024966294,-7.952883374,-9.78911256,-9.476150766,-6.582440363,-5.207752893,-6.964773371,-5.239699754,-6.47848351,-7.3528053,-8.384929724,-6.365208674,-6.453947552,-6.250365372,-5.508970021,-5.360433714,-6.388641366,-6.934047702,-6.516405949,-5.72614288,-9.634350967,-9.745675205,-9.013836309,-8.144708168,-7.066801916,-6.029329123,-5.70390129,-7.081895119,-6.547703259,-3.758521316,-3.747031826,-5.703116961,-5.102920972,-8.708845241,-7.050626678,-5.490511664,-8.722061714,-5.710703661,-6.945920423,-6.774545329,-4.913991308,-4.659622807,-3.798353093,-4.351818838,-2.255763915,-0.827818497,0,-2.186334624,-3.098426497,-7.421202881,-9.935418972,-7.557352373,-6.467597309,-7.548658964,-6.860514851,-7.366863078,-6.856318719,-3.359868186,-4.136245996,-3.678449778,-3.380180641,-3.033710358,-3.488297605,-6.481952153,-6.248769533,-5.465465253,-7.442948699,-8.204830031,-6.745439074,-5.446317481,-6.385109459,-5.422751604,-4.429163684,-8.251594286,-4.832466091,-4.502495814,-4.694292261,-6.180688971,-3.765787907,-4.089545216,-5.967405511,-9.309853354,-5.863654669,-2.870590036,-5.140805519,-10.8677837,-6.964990375,-7.663447307,-6.439503779,-7.606897254,-6.723174016,-3.763443348,-3.348715058,-8.549148656,-5.129991235,-2.787518065,-4.982866746,-4.878034314,-3.615457383,-5.905087976,-3.67782943,-6.574760523,-5.607962544,-3.641552732,-7.811763709,-2.72686803
YAP1,-4.791654143,-7.300076062,-1.878087887,-2.043877382,-3.612958084,-14.04296238,-14.04296238,-14.04296238,-14.04296238,-14.04296238,-14.04296238,-14.04296238,-14.04296238,-14.04296238,-14.04296238,-14.04296238,-14.04296238,-3.446912542,-3.392986486,-2.968581789,-3.191878995,-2.829223892,-4.13892068,-4.33911379,-5.339810012,-5.902955823,-4.469705764,-5.029603893,-3.572698986,-2.756653892,-3.248467419,-4.430319608,-4.043378421,-5.100958367,-3.443692789,-4.100100727,-3.325097067,-2.295284752,-4.437621332,-4.360162982,-14.04296238,-14.04296238,-14.04296238,-5.994895024,-4.953455458,-4.789041708,-3.340259247,-5.233982868,-5.821785506,-5.528373835,-5.989333926,-6.007812054,-6.004308864,-2.906165158,-2.850116405,-3.112822293,-3.411924516,-3.8173244,-7.209868667,-6.012293272,-5.822407212,-5.224225088,-14.04296238,-14.04296238,-4.437155293,-4.255036129,-4.514523527,-4.202221544,-1.927223627,-1.546128821,-2.522217394,-14.04296238,-3.644942935,-4.678783513,-4.368946086,-7.115995128,-4.016588744,-5.239455324,-4.755026491,-2.445939663,-3.126975701,-4.948101387,-7.125715347,-4.463957408,-1.958047297,-2.186334624,0,-3.276763867,-6.64631485,-6.083563143,-2.292400826,-2.674759721,-5.307294479,-4.642292201,-5.263707928,-5.125792553,-3.417358907,-3.819203536,-1.325823044,-2.272584313,-3.908954559,-5.06015633,-4.038148179,-3.869148466,-4.983199525,-4.364706698,-4.784662361,-4.797985677,-3.287185337,-4.261242789,-3.224355292,-6.858728416,-5.6902596,-2.64273117,-2.771777611,-4.288588973,-5.109753563,-1.220247826,-1.515726004,-4.330753969,-6.492644108,-3.761025676,-1.156612114,-4.505906841,-7.928093286,-5.363662745,-5.618936632,-4.561604704,-4.695160247,-2.361397277,-2.729238877,-2.213377473,-4.780083752,-3.345354233,-3.731564129,-2.219231301,-3.731564129,-1.037451702,-2.443930223,-3.992490227,-3.978903391,-4.274087315,-0.912523763,-5.423100612,-4.491248562
CIN5,-9.752008125,-9.251772233,-6.286764144,-5.402362595,-4.377830358,-4.84100455,-4.303817573,-3.760537544,-4.027684738,-4.046471218,-4.266919874,-4.200704692,-4.230852588,-4.242098088,-4.192676627,-4.243067548,-4.200597795,-6.436788986,-7.60417692,-7.019708529,-7.537184615,-6.685434091,-7.628149277,-7.118972118,-8.654412666,-8.983540678,-6.69169631,-7.415158869,-8.10476551,-8.814272401,-8.768496437,-10.5835155,-10.945941,-9.239819305,-7.064336772,-6.817759905,-3.008535694,-3.035232494,-4.465371082,-4.099821336,-7.009615766,-8.328674071,-8.020938631,-9.119853947,-6.498661888,-6.259222356,-6.38144784,-6.234214476,-6.48877622,-8.75295196,-5.786392359,-5.883170306,-5.650835754,-5.048105265,-5.075720476,-5.454248015,-6.927290986,-5.550977297,-4.744742329,-8.744983157,-8.526004369,-7.884794386,-7.238832669,-6.000656632,-5.868981745,-5.58325955,-6.759675505,-5.141792596,-4.062502015,-5.162993072,-4.749439973,-5.209427066,-6.650470252,-5.757177623,-7.092107945,-8.283874878,-6.590419756,-8.883506182,-8.760635877,-3.048882421,-2.882091339,-10.90087721,-8.898241022,-3.333554225,-1.317642081,-3.098426497,-3.276763867,0,-6.627951757,-6.669492145,-7.388558775,-6.651706563,-7.291276487,-6.408913745,-9.304518711,-8.306322343,-5.637096183,-6.070743092,-4.528168103,-4.214044621,-8.822439102,-3.777351245,-5.08652157,-4.447159641,-5.516215544,-6.755509098,-7.822922022,-6.211499478,-4.194359136,-5.358447441,-6.515306064,-7.295370576,-8.331088594,-4.812137913,-4.584648151,-3.653689064,-7.380768308,-3.983105031,-4.287437097,-6.227546757,-9.115572627,-7.776565878,-3.819832824,-6.47651546,-3.82612649,-2.916164278,-4.50489839,-9.90190173,-7.464574913,-8.070072618,-3.740113721,-3.456241912,-10.35481922,-6.110697163,-5.833537844,-3.616562491,-6.927486494,-3.516577709,-6.61318741,-6.828716795,-5.744748763,-6.361827772,-4.295781003,-9.994557106,-5.357744668
GZF3,-7.292279221,-7.204940943,-3.106288748,-3.922583123,-5.050959576,-5.109691595,-4.804994003,-4.796363363,-4.543052231,-4.643924568,-4.924329221,-4.962310834,-4.956824383,-5.001164668,-4.982705648,-4.946489555,-5.018258975,-6.529912578,-5.534080756,-5.05769821,-5.562247606,-4.846653694,-4.974982166,-5.449454618,-5.463249164,-5.494738473,-6.271935572,-6.359423926,-6.251518557,-7.649034629,-7.709245949,-8.737385321,-9.385235876,-6.773958456,-6.028490046,-4.583861748,-4.989916744,-3.666271931,-5.803340954,-7.688117837,-8.114911437,-7.957977041,-8.191228105,-5.975933439,-11.30370408,-8.23140287,-6.671280451,-7.04793698,-7.427509986,-8.12058649,-6.982809764,-6.995024764,-6.779176788,-6.228633748,-6.096474894,-6.443689503,-8.80605726,-9.847400171,-5.585109127,-8.119009826,-7.943494636,-7.699788794,-7.267149712,-6.417254492,-7.064111991,-6.395529458,-8.325812277,-10.10913605,-5.994410855,-6.040931673,-6.939153068,-5.611084389,-8.939909101,-10.72279471,-4.917586828,-6.750922324,-9.113993917,-10.02160845,-10.29170615,-3.838342222,-5.406814909,-10.4493432,-7.354541878,-3.84302262,-6.716191227,-6.008151504,-3.494976055,-6.627951757,0,-0.223434712,-1.384417796,-3.31629655,-4.394586004,-5.310946424,-5.407203468,-8.049974161,-3.867594608,-4.654499607,-3.563365513,-4.862654241,-6.226473858,-8.361585856,-7.023782352,-4.990456815,-4.890535765,-7.788880239,-7.878791355,-8.890998907,-4.816831558,-6.329247069,-12.36601774,-9.31388071,-6.423642672,-4.977594575,-5.142855648,-7.623425707,-7.752658961,-4.948385183,-5.323729784,-8.70554509,-11.72632598,-8.269274887,-4.969840959,-4.725235318,-7.77864884,-5.488666454,-7.906841145,-11.35680555,-7.76713439,-5.305130889,-3.73447589,-4.507004122,-10.38059904,-5.9945607,-4.923161606,-4.138703107,-11.96175982,-5.86095775,-7.363588082,-10.5414837,-8.321984365,-7.68571994,-2.309689644,-6.034663352,-10.66298917
GLN3,-5.850469862,-4.71715248,-2.555597967,-3.880229379,-4.990182792,-5.061339754,-4.751388828,-4.200522475,-4.653827131,-4.793162983,-4.818850088,-4.856606366,-4.898505721,-5.00590869,-4.765348777,-4.557718059,-4.510173098,-5.039061172,-4.397032564,-4.273733873,-4.332096289,-3.868335903,-3.96169171,-3.883947938,-5.173005897,-5.508245454,-4.693159706,-5.19536633,-6.026921638,-5.274014089,-4.393257596,-5.570973626,-6.425060816,-7.055327497,-4.4867573,-4.28303484,-7.777030838,-4.178761657,-5.66937297,-4.885692995,-7.889793116,-8.022628327,-8.374382357,-5.921278516,-8.259390958,-9.557656069,-8.060954762,-6.829958749,-7.011776395,-8.368298035,-8.030548311,-8.145805606,-8.066003238,-6.082320531,-7.546179611,-7.993759163,-7.766990261,-9.203909498,-10.41875946,-10.7884617,-11.06759696,-10.35545248,-8.81468781,-7.865621785,-7.535429214,-7.077506473,-10.10870644,-9.347788101,-6.346065316,-6.267817109,-6.224542614,-4.69902446,-8.029668587,-9.544259395,-4.576176482,-6.341006086,-8.535026081,-9.067756144,-9.583232761,-3.739464344,-4.461314704,-9.663233444,-4.571901076,-3.356035704,-5.803946338,-6.753559658,-2.937967517,-6.469965833,-0.223434712,0,-1.032114353,-2.559402601,-3.68850508,-4.538010817,-4.543277352,-5.222541226,-3.284496524,-3.135841695,-2.847270419,-4.187786444,-5.028343877,-7.856480274,-6.33654185,-4.937682391,-4.843985262,-8.023687975,-6.528641609,-8.765622693,-4.227745092,-7.596904416,-8.627257158,-6.775430666,-5.464911315,-4.345382883,-4.48376316,-6.996116545,-6.575640754,-5.612698673,-6.189824805,-7.577951779,-10.90989081,-4.630734645,-4.076607342,-4.580673555,-8.944152548,-4.037144356,-8.367534906,-8.328207514,-7.337458154,-4.816552984,-3.015557072,-3.797032035,-6.635528336,-5.288859046,-4.33382155,-3.847225561,-11.08183483,-5.317556838,-5.858169848,-5.405363521,-6.499147577,-7.100581799,-1.954597074,-6.402775592,-9.93741782
GAT1,-3.925076315,-4.232376991,-1.525524675,-2.183011814,-3.434600481,-4.489269281,-4.234395835,-3.032405377,-2.885070784,-3.009680571,-3.309251128,-3.347303164,-3.351788494,-3.415665758,-3.353353214,-3.271800956,-3.341552114,-2.937178464,-2.976520276,-2.833153328,-2.387931323,-1.956571646,-3.318540272,-2.348804684,-4.207078533,-2.96451321,-2.733835121,-4.285140034,-3.620578453,-4.070170377,-3.526125585,-4.4899078,-5.299969967,-4.007121317,-2.588975464,-2.659771356,-3.661709339,-2.132195089,-3.649637878,-3.050829411,-6.340909625,-6.583219545,-6.744227365,-4.276172851,-6.302628654,-4.727664025,-4.854549985,-5.003403168,-8.559152558,-5.610503637,-4.159738302,-4.133940275,-4.19349312,-4.433239926,-5.565733807,-5.906319054,-5.422751955,-6.631882179,-5.313658639,-6.3822135,-6.231706192,-5.942846291,-5.517418085,-4.65047343,-6.280193391,-6.588066906,-6.472326812,-6.737729661,-4.533773408,-4.435671115,-4.851583869,-3.531132167,-6.019259088,-6.086737295,-4.685047804,-5.85898704,-5.704037886,-4.647567622,-4.974006587,-1.968030177,-3.180049301,-4.782437863,-5.187211013,-2.079885401,-5.060423322,-5.686513088,-2.292400826,-5.245168521,-1.384417796,-1.032114353,0,-1.561951513,-2.371848403,-2.835642588,-3.192483045,-4.459903,-2.690445909,-2.966867665,-2.481833489,-4.174944412,-3.380427583,-3.018790465,-4.838714156,-3.488166428,-3.388645401,-5.906030829,-4.380819998,-6.840686201,-2.733149238,-7.125975238,-4.678473671,-4.776174155,-5.847305907,-3.742531273,-3.98716946,-4.73971803,-4.98857838,-3.843387627,-4.407469499,-5.946047537,-6.769625336,-3.567107552,-2.543124845,-3.34175806,-4.794404972,-2.759080975,-6.342527806,-6.671531079,-4.9443775,-3.162243954,-2.491073501,-2.068325641,-7.499781506,-5.258606184,-4.506047212,-2.074556903,-9.144216714,-3.286465869,-4.806194289,-4.450610166,-3.577736084,-4.580126485,-1.142686283,-5.206817572,-4.611695987
GAT3,-6.251435199,-6.808688629,-4.453928499,-4.601679371,-3.250916526,-4.682869278,-4.066176804,-2.994584815,-3.596623812,-3.730892061,-3.940368665,-3.91906892,-3.967341329,-4.02976166,-3.822939036,-3.732394384,-3.61970063,-7.175769181,-2.902003733,-2.818628997,-5.453144939,-4.099438241,-5.859114232,-3.619691246,-7.087955042,-5.490352102,-7.582205697,-6.971797353,-5.818030904,-4.855752914,-5.217772217,-7.312649816,-7.19344694,-4.235823551,-4.631392315,-4.177901528,-3.801548161,-4.112225866,-4.395358598,-4.530139945,-5.918211691,-6.155804112,-6.104836803,-5.767781202,-7.314273553,-6.631544007,-4.914664566,-6.492478741,-7.310783762,-8.03051631,-5.631730127,-5.619362409,-5.654247261,-4.10840253,-4.188082472,-5.070768344,-5.642532296,-6.095952704,-7.803002746,-6.482172933,-6.472376646,-5.958099256,-5.903258817,-5.087194288,-5.100583151,-5.149136805,-5.798528803,-5.123685671,-3.291433628,-2.328675195,-3.496120344,-4.689528806,-5.514344013,-6.313876766,-5.047860854,-2.356817194,-5.861819006,-6.522822727,-6.407476379,-4.47906374,-5.229536881,-6.117305869,-6.722747067,-3.47291888,-6.317806235,-6.834708644,-3.27837622,-6.651706563,-8.151226413,-2.559402601,-1.561951513,0,-0.858787168,-1.624821385,-1.393983883,-5.746611924,-4.045736165,-5.5424811,-2.55714725,-4.426360896,-3.485997103,-5.224953999,-5.508928803,-5.477989623,-4.41206159,-6.124039355,-4.580687685,-3.344875401,-2.584040314,-5.560464078,-5.59437769,-6.214299744,-7.355341683,-4.348988957,-4.445329123,-5.410898425,-5.719785346,-1.89721708,-1.973806037,-4.899003334,-5.995496159,-5.202062507,-3.238532652,-5.777192259,-6.080391729,-6.006962591,-6.878544905,-5.56277637,-5.311328945,-4.81438325,-3.201816002,-2.282233474,-4.976584491,-3.687867317,-7.123570463,-3.506909212,-6.174213304,-2.285824831,-3.809665014,-8.551739971,-5.414670007,-5.776436679,-1.988630214,-5.427548131,-6.054351469
